Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Комплект одежды;2803015753;56229-RD-M;https://www.ozon.ru/product/2803015753;без бренда;Одежда;Комплект одежды;Нет;488 930 ₽;+102%;271;1 595 ₽;1 804 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;12,1;54,0%;64,0%;53 883;80 102;0,25%;6,85%;0,0%;92,2%;2025-09-04
Пуховик Stylish Dance /с капюшоном;2790233661;8301черный 48;https://www.ozon.ru/product/2790233661;Stylish Dance;Одежда;Пуховик;Нет;488 910 ₽;+25%;105;3 826 ₽;4 656 ₽;17 303 ₽;21 из 28;17 486 ₽;4;FBO;64 ч;10,8;41,0%;55,0%;70 485;13 555;0,00%;2,70%;0,2%;41,9%;2025-09-01
Куртка;1797005253;kurtka03/L;https://www.ozon.ru/product/1797005253;без бренда;Одежда;Куртка;Нет;488 907 ₽;-2%;111;2 907 ₽;4 405 ₽;0 ₽;13 из 28;16 352 ₽;4;FBO;36 ч;9,4;40,0%;53,0%;264 687;23 307;0,01%;3,74%;0,8%;25,2%;2024-12-22
Куртка StreetManage;2796776319;675675657;https://www.ozon.ru/product/2796776319;StreetManage;Одежда;Куртка;Нет;488 886 ₽;-47%;120;3 418 ₽;4 074 ₽;56 687 ₽;22 из 28;18 896 ₽;5;FBO;68 ч;3,0;39,0%;52,0%;42 272;7 467;0,05%;3,97%;0,0%;42,5%;2025-09-02
Свитер RYKAVA мужской на молнии;1681456810;Свитер серый на молнии-OS-1;https://www.ozon.ru/product/1681456810;RYKAVA;Одежда;Свитер;Нет;488 878 ₽;-41%;189;2 042 ₽;2 587 ₽;0 ₽;14 из 28;18 446 ₽;7;FBO;39 ч;4,8;48,0%;55,0%;66 844;19 510;0,00%;2,81%;1,3%;50,5%;2024-09-04
Куртка ZASLON Базовая;3073800337;JBasic04_L;https://www.ozon.ru/product/3073800337;ZASLON;Одежда;Куртка;Нет;488 852 ₽;-58%;88;4 952 ₽;5 555 ₽;0 ₽;18 из 28;17 274 ₽;3;FBO;33 ч;18,0;42,0%;56,0%;57 623;9 233;0,01%;3,19%;3,5%;48,8%;2025-11-06
Полукомбинезон XVOYA Base;1845341380;Полукомбез_фуксия_S;https://www.ozon.ru/product/1845341380;XVOYA;Одежда;Полукомбинезон;Нет;488 842 ₽;+1%;50;8 363 ₽;9 777 ₽;108 245 ₽;23 из 28;21 649 ₽;2;FBO;36 ч;7,0;45,0%;49,0%;41 406;5 759;0,03%;2,69%;2,9%;34,0%;2025-01-23
Костюм классический KatyPretty Костюм с юбкой;2893477535;DesertСерый_XL;https://www.ozon.ru/product/2893477535;KatyPretty;Одежда;Костюм классический;Нет;488 763 ₽;+114%;100;3 405 ₽;4 888 ₽;92 009 ₽;24 из 28;18 816 ₽;4;FBO;58 ч;6,3;47,0%;53,0%;61 518;22 702;0,01%;3,15%;0,0%;32,0%;2025-09-24
Куртка StreetManage;2796777161;675675656;https://www.ozon.ru/product/2796777161;без бренда;Одежда;Куртка;Нет;488 757 ₽;-42%;115;3 427 ₽;4 250 ₽;55 564 ₽;24 из 28;18 521 ₽;4;FBO;56 ч;3,0;39,0%;52,0%;51 869;7 731;0,02%;4,19%;0,0%;33,9%;2025-09-02
Рубашка Lady Gina ВЕЛЬВЕТ & КЛЕТКА;1767405183;Shrt2clr_GR02_46-48;https://www.ozon.ru/product/1767405183;Lady Gina;Одежда;Рубашка;Нет;488 746 ₽;-32%;292;1 040 ₽;1 674 ₽;0 ₽;3 из 28;16 838 ₽;10;FBO;28 ч;0,9;48,0%;55,0%;96 267;16 310;0,07%;7,55%;1,9%;52,0%;2024-11-25
Куртка Куртка мужская зимняя с капюшоном аляска парка -30;1174318344;пуховик-zaka-106-темносиний-54;https://www.ozon.ru/product/1174318344;без бренда;Одежда;Куртка;Нет;488 678 ₽;-23%;47;8 162 ₽;10 397 ₽;0 ₽;24 из 28;16 626 ₽;2;FBO,FBS;58 ч;25,0;41,0%;54,0%;33 453;6 111;0,00%;3,38%;0,7%;38,2%;2023-09-05
Брюки палаццо ZERTELLI утепленная ткань;2617162866;Мишель_елка9_48;https://www.ozon.ru/product/2617162866;ZERTELLI;Одежда;Брюки;Нет;488 657 ₽;+50%;190;1 496 ₽;2 572 ₽;0 ₽;1 из 28;17 678 ₽;7;FBO;28 ч;3,0;45,0%;50,0%;31 632;15 028;0,02%;4,81%;1,4%;36,3%;2025-08-05
Кофе в зернах MakBush SUPER STRONG 1 кг, робуста 100%, натуральный, крепкий, средняя обжарка;692821269;КК17;https://www.ozon.ru/product/692821269;MakBush;Продукты питания;Кофе в зернах;Нет;488 657 ₽;-15%;301;1 355 ₽;1 623 ₽;0 ₽;23 из 28;17 342 ₽;11;FBO;50 ч;4,2;38,0%;47,0%;65 306;4 391;0,23%;9,47%;11,4%;97,1%;2022-08-29
Халат Иваново-Текстиль Здоровье в любом возрасте;768565541;hbdlin-white 50-52;https://www.ozon.ru/product/768565541;Иваново-Текстиль;Одежда;Халат;Нет;488 397 ₽;+37%;431;860 ₽;1 133 ₽;0 ₽;24 из 28;16 970 ₽;15;FBO,FBS;47 ч;5,7;54,0%;65,0%;64 976;17 075;0,08%;6,34%;0,0%;71,0%;2022-10-31
Куртка U.S. POLO ASSN.;3289991570;G082SZ0KS0ART_POLINA_VR256_36;https://www.ozon.ru/product/3289991570;U.S. POLO ASSN.;Одежда;Куртка;Да;488 382 ₽;+1 014%;41;9 080 ₽;11 912 ₽;0 ₽;24 из 28;16 789 ₽;1;FBO,FBS;0 ч;39,4;42,0%;55,0%;12 491;2 383;0,04%;5,24%;0,0%;43,9%;2025-12-26
Пуховик Marmalato;1701841510;1022-015_145448;https://www.ozon.ru/product/1701841510;Marmalato;Одежда;Пуховик;Нет;488 364 ₽;+54%;36;11 180 ₽;13 566 ₽;0 ₽;17 из 28;15 418 ₽;1;FBO;52 ч;33,5;41,0%;54,0%;17 935;5 541;0,06%;2,63%;0,0%;33,3%;2024-09-23
Джинсы T.ONE SYMBOL прямые;1605317014;Джинсы_9639_голуб_36;https://www.ozon.ru/product/1605317014;T.ONE SYMBOL;Одежда;Джинсы;Нет;488 344 ₽;+204%;202;404 ₽;2 418 ₽;0 ₽;9 из 28;16 677 ₽;7;FBO,FBS;41 ч;4,8;47,0%;54,0%;55 960;7 896;0,03%;9,54%;3,4%;51,9%;2024-06-15
Пуховик Outventure;1744671866;CVE7HQIXBI;https://www.ozon.ru/product/1744671866;Outventure;Одежда;Пуховик;Нет;488 340 ₽;0%;57;6 749 ₽;8 567 ₽;56 921 ₽;21 из 28;18 974 ₽;2;FBO;59 ч;27,0;43,0%;58,0%;41 697;3 773;0,01%;5,43%;0,2%;42,1%;2024-10-30
Комплект верхней одежды Pinky STAR Горнолыжный;2659796852;М218-6-54;https://www.ozon.ru/product/2659796852;Pinky STAR;Одежда;Комплект верхней одежды;Нет;488 330 ₽;-6%;43;9 233 ₽;11 357 ₽;76 021 ₽;25 из 28;19 005 ₽;2;FBO;62 ч;20,8;40,0%;53,0%;22 584;6 337;0,02%;4,16%;0,0%;27,9%;2025-08-11
Куртка;1148589092;1869_с_48;https://www.ozon.ru/product/1148589092;без бренда;Одежда;Куртка;Нет;488 258 ₽;-38%;45;8 440 ₽;10 850 ₽;0 ₽;17 из 28;16 699 ₽;2;FBO;33 ч;38,5;43,0%;57,0%;41 502;10 770;0,02%;2,05%;0,0%;37,7%;2023-08-22
Брюки джоггеры LAINA женские зимние;1261377514;W-24-W1-732-3/черный 54;https://www.ozon.ru/product/1261377514;LAINA;Одежда;Брюки;Нет;488 227 ₽;+10%;336;754 ₽;1 453 ₽;37 164 ₽;25 из 28;18 582 ₽;13;FBO;46 ч;8,1;56,0%;69,0%;145 027;13 059;0,01%;7,11%;9,0%;66,9%;2023-10-26
Куртка VOVIA Куртка зимняя с капюшоном VOVIA;2869447300;42 228-ghi;https://www.ozon.ru/product/2869447300;VOVIA;Одежда;Куртка;Нет;488 214 ₽;-52%;113;3 191 ₽;4 320 ₽;133 328 ₽;26 из 28;22 221 ₽;5;FBO;54 ч;3,0;39,0%;51,0%;90 932;7 952;0,01%;4,61%;0,0%;39,8%;2025-09-18
Шуба искусственная;2979957268;530-SH-XXL;https://www.ozon.ru/product/2979957268;без бренда;Одежда;Шуба искусственная;Нет;488 200 ₽;+221%;54;7 401 ₽;9 041 ₽;102 309 ₽;25 из 28;20 462 ₽;2;FBO;63 ч;45,5;45,0%;61,0%;164 524;13 668;0,00%;2,29%;1,8%;33,3%;2025-10-16
Джинсы BIGAR Джинсы мужские бананы;2844700409;НТ/серо-синий 31;https://www.ozon.ru/product/2844700409;BIGAR;Одежда;Джинсы;Нет;488 137 ₽;-9%;198;1 877 ₽;2 465 ₽;0 ₽;10 из 28;16 779 ₽;7;FBO;35 ч;6,0;49,0%;57,0%;5 685;5 787;0,19%;7,84%;0,1%;41,1%;2025-09-12
Кофе в зёрнах Jardin Americano Crema, 250 г;33632573;0552-12, 0552-12-0, 0552-12-0;https://www.ozon.ru/product/33632573;Jardin;Продукты питания;Кофе в зернах;Нет;488 132 ₽;+11%;1 125;1 ₽;434 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,8;46,0%;63,0%;81 881;13 860;0,91%;15,62%;13,1%;0,0%;0001-01-01
Юбка BUY & STYLE Осень-Зима 2025-2026;2576105440;ЮбкаБазаХаки;https://www.ozon.ru/product/2576105440;BUY & STYLE;Одежда;Юбка;Нет;488 045 ₽;+46%;207;1 740 ₽;2 358 ₽;0 ₽;8 из 28;16 841 ₽;7;FBO;29 ч;6,1;50,0%;58,0%;40 315;22 800;0,10%;3,98%;1,0%;36,7%;2025-07-30
Брюки клеш MIKMN Эластичная серия;1235252711;LEG-kl-el-40;https://www.ozon.ru/product/1235252711;MIKMN;Одежда;Брюки;Нет;487 943 ₽;+49%;333;953 ₽;1 465 ₽;0 ₽;7 из 28;16 493 ₽;11;FBO;35 ч;1,5;48,0%;55,0%;41 990;19 775;0,25%;8,39%;2,6%;53,4%;2023-10-11
Костюм спортивный Black Star RUS RUS;1588928691;MA0120-029/черный/2XL;https://www.ozon.ru/product/1588928691;Black Star RUS;Одежда;Костюм спортивный;Нет;487 919 ₽;-3%;50;9 060 ₽;9 758 ₽;0 ₽;17 из 28;15 670 ₽;2;FBO,FBS;33 ч;13,4;46,0%;52,0%;16 450;4 822;0,02%;4,50%;0,9%;40,0%;2024-05-29
Брюки палаццо LAINA женские зимние;2838576514;L/W25-W1-387/черный/44;https://www.ozon.ru/product/2838576514;LAINA;Одежда;Брюки;Нет;487 916 ₽;-22%;264;1 288 ₽;1 848 ₽;79 646 ₽;25 из 28;19 911 ₽;11;FBO;44 ч;1,5;50,0%;59,0%;14 138;5 905;0,21%;15,08%;0,0%;50,0%;2025-09-11
Парка Biser;3104160534;Парка женская черная новая 96-100/170-176;https://www.ozon.ru/product/3104160534;Biser;Одежда;Парка;Нет;487 815 ₽;-1%;46;9 295 ₽;10 605 ₽;35 974 ₽;22 из 28;17 987 ₽;2;FBO;32 ч;18,0;40,0%;52,0%;37 704;20 228;0,00%;1,80%;3,7%;32,6%;2025-11-13
Костюм классический;395441400;2031/ capuchino;https://www.ozon.ru/product/395441400;без бренда;Одежда;Костюм классический;Нет;487 730 ₽;+1%;112;3 544 ₽;4 355 ₽;0 ₽;16 из 28;17 419 ₽;4;FBO;49 ч;10,6;49,0%;56,0%;54 079;19 332;0,00%;3,55%;2,4%;47,3%;2021-11-21
Куртка ZASLON Premium;3210447920;JL09_3XL;https://www.ozon.ru/product/3210447920;ZASLON;Одежда;Куртка;Нет;487 723 ₽;+135%;95;3 506 ₽;5 134 ₽;0 ₽;21 из 28;16 848 ₽;3;FBO;35 ч;20,9;43,0%;58,0%;40 394;5 551;0,01%;5,02%;1,0%;45,2%;2025-12-08
Брюки классические Lipkinof;1800640576;brukistr_podvoroti_32;https://www.ozon.ru/product/1800640576;Lipkinof;Одежда;Брюки;Нет;487 702 ₽;-55%;178;1 843 ₽;2 740 ₽;0 ₽;4 из 28;17 511 ₽;6;FBO;28 ч;3,6;48,0%;55,0%;111 666;18 406;0,01%;3,21%;9,6%;44,0%;2024-12-24
Куртка Zolla;2873730314;z0154151140149900_M;https://www.ozon.ru/product/2873730314;Zolla;Одежда;Куртка;Нет;487 655 ₽;-47%;140;2 633 ₽;3 483 ₽;0 ₽;14 из 28;15 998 ₽;5;FBO;39 ч;18,5;46,0%;62,0%;84 703;8 378;0,05%;3,86%;0,0%;50,0%;2025-09-19
Платье IDANI женское;1666020427;SingaporeЧерный_50-52;https://www.ozon.ru/product/1666020427;IDANI;Одежда;Платье;Нет;487 584 ₽;-72%;191;2 033 ₽;2 553 ₽;0 ₽;1 из 28;17 063 ₽;7;FBO;28 ч;2,4;47,0%;54,0%;290 786;25 822;0,02%;4,44%;0,0%;42,9%;2024-08-22
Пижама ТВОЕ;3052269891;B6365_розовый_L_0015;https://www.ozon.ru/product/3052269891;ТВОЕ;Одежда;Пижама;Нет;487 531 ₽;+271%;478;715 ₽;1 020 ₽;17 564 ₽;18 из 28;17 673 ₽;17;FBO;52 ч;1,0;50,0%;60,0%;266 262;34 815;0,08%;5,67%;0,0%;61,2%;2025-11-01
Кофе в зернах 1 кг, 100% Арабика, Эфиопия и Бразилия, DE JANEIRO ESPRESSO ETHIOPIA;1202555414;DJ-ETHIOPIA-1000;https://www.ozon.ru/product/1202555414;DE JANEIRO;Продукты питания;Кофе в зернах;Нет;487 501 ₽;-37%;305;134 ₽;1 598 ₽;0 ₽;22 из 28;16 833 ₽;11;FBO;89 ч;2,7;35,0%;42,0%;23 140;6 931;0,30%;8,74%;2,9%;95,0%;2023-09-21
Брюки джоггеры totuus r;1212247311;ДЖ-Мод2Начес-Черный-36;https://www.ozon.ru/product/1212247311;totuus r;Одежда;Брюки;Нет;487 470 ₽;+25%;315;871 ₽;1 548 ₽;0 ₽;21 из 28;16 728 ₽;11;FBO;59 ч;7,0;55,0%;67,0%;55 512;9 460;0,04%;7,78%;3,0%;55,2%;2023-09-27
Шуба искусственная Zarina;2664933685;ZR2510102229/65/M;https://www.ozon.ru/product/2664933685;Zarina;Одежда;Шуба искусственная;Нет;487 404 ₽;-10%;96;4 775 ₽;5 077 ₽;1 164 446 ₽;28 из 28;58 222 ₽;12;FBO;62 ч;24,2;43,0%;58,0%;26 010;4 139;0,07%;6,25%;0,0%;29,1%;2025-08-12
Комбинезон утепленный WALK Комбинезон;1629703714;ST2107007Z-170L;https://www.ozon.ru/product/1629703714;WALK;Одежда;Комбинезон утепленный;Нет;487 393 ₽;-11%;22;19 217 ₽;22 154 ₽;877 307 ₽;27 из 28;48 739 ₽;2;FBO;75 ч;44,0;40,0%;53,0%;2 226;1 196;0,26%;9,28%;0,0%;22,7%;2024-07-16
Джемпер FLOW LAB;1613928011;33708beige_XL;https://www.ozon.ru/product/1613928011;FLOW LAB;Одежда;Джемпер;Нет;487 200 ₽;-51%;225;1 461 ₽;2 165 ₽;0 ₽;12 из 28;17 234 ₽;8;FBO;28 ч;5,0;51,0%;60,0%;24 702;14 955;0,11%;6,76%;2,3%;47,1%;2024-06-25
Куртка VOVIA Куртка демисезон с капюшоном VOVIA;3255845504;44 216-nau;https://www.ozon.ru/product/3255845504;VOVIA;Одежда;Куртка;Да;487 188 ₽;0%;152;2 317 ₽;3 205 ₽;0 ₽;26 из 28;21 021 ₽;7;FBO;0 ч;2,0;39,0%;51,0%;37 842;23 696;0,03%;2,70%;0,0%;48,0%;2025-12-18
Кардиган Golden Loop Old money;3075154964;kardig_korot_grafit;https://www.ozon.ru/product/3075154964;Golden Loop;Одежда;Кардиган;Нет;487 180 ₽;+135%;377;13 ₽;1 292 ₽;0 ₽;13 из 28;16 874 ₽;13;FBO;42 ч;6,3;54,0%;65,0%;304 101;39 231;0,04%;4,34%;6,4%;61,4%;2025-11-07
Кофе в зернах 1 кг, Kimbo Extra Cream;32208545;0256_5040-1;https://www.ozon.ru/product/32208545;Kimbo;Продукты питания;Кофе в зернах;Нет;487 177 ₽;-53%;207;1 445 ₽;2 354 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,5;36,0%;42,0%;40 869;3 554;0,16%;5,96%;6,4%;0,0%;0001-01-01
Платье MaraZme;1687245726;Платье вяз короткое молочный 1M (46-48);https://www.ozon.ru/product/1687245726;MaraZme;Одежда;Платье;Нет;487 093 ₽;+12%;185;0 ₽;2 633 ₽;0 ₽;15 из 28;17 266 ₽;7;FBO;48 ч;9,7;49,0%;57,0%;101 402;17 916;0,03%;4,23%;0,0%;52,7%;2024-09-09
Комплект одежды Diana-tex спортивный костюм;2768481505;СК49черный60;https://www.ozon.ru/product/2768481505;Diana-tex;Одежда;Комплект одежды;Нет;486 924 ₽;+51%;192;2 044 ₽;2 536 ₽;0 ₽;16 из 28;17 208 ₽;7;FBO;47 ч;5,5;49,0%;57,0%;89 449;19 107;0,02%;7,24%;0,8%;50,5%;2025-08-28
Платье;1685402068;Платье 8983 стойка молочный;https://www.ozon.ru/product/1685402068;без бренда;Одежда;Платье;Нет;486 905 ₽;-47%;130;3 148 ₽;3 745 ₽;0 ₽;16 из 28;16 980 ₽;5;FBO;36 ч;6,5;48,0%;55,0%;109 001;14 696;0,00%;4,08%;6,0%;36,1%;2024-09-07
Куртка Reaktiv Горные лыжи и Сноуборд;1776875041;Куртка кнопка красная XS/S;https://www.ozon.ru/product/1776875041;Reaktiv;Одежда;Куртка;Нет;486 833 ₽;+16%;51;7 751 ₽;9 546 ₽;147 805 ₽;25 из 28;21 115 ₽;2;FBO,FBS;56 ч;10,0;39,0%;51,0%;111 573;6 696;0,00%;2,03%;1,4%;47,0%;2024-12-05
Кофе в зернах Poetti Espresso Perfetto - 1 кг.;3253030428;"1-Кофе в зернах ""Poetti"" Espresso Perfetto 1000г";https://www.ozon.ru/product/3253030428;Poetti;Продукты питания;Кофе в зернах;Нет;486 817 ₽;+362%;349;1 ₽;1 395 ₽;0 ₽;14 из 28;16 962 ₽;12;FBO;32 ч;2,9;37,0%;46,0%;37 375;5 847;0,58%;9,66%;0,0%;95,1%;2025-12-18
Комплект верхней одежды горнолыжный, тёплый, 2025-2026;3204365977;gkbiruza54219;https://www.ozon.ru/product/3204365977;без бренда;Одежда;Комплект верхней одежды;Нет;486 589 ₽;+50%;40;10 254 ₽;12 165 ₽;0 ₽;22 из 28;16 975 ₽;1;FBO,FBS;49 ч;4,5;38,0%;49,0%;38 576;5 272;0,02%;4,76%;0,0%;35,0%;2025-12-06
Кофейный напиток Torabika Creamy Latte, 20 саше;475344927;322795;https://www.ozon.ru/product/475344927;Torabika;Продукты питания;Кофе растворимый;Нет;486 570 ₽;+48%;1 152;35 ₽;422 ₽;0 ₽;12 из 28;17 313 ₽;41;FBO;30 ч;3,3;54,0%;76,0%;39 107;10 486;1,46%;12,36%;0,0%;97,8%;2022-01-24
Кофе в капсулах L'OR Espresso Delizioso, для кофемашины Nespresso, арабика, 10 шт;144066012;4028407;https://www.ozon.ru/product/144066012;L'OR;Продукты питания;Кофе в капсулах;Нет;486 494 ₽;+4%;1 351;1 ₽;360 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,5;50,0%;70,0%;25 323;4 169;1,89%;9,78%;5,5%;0,0%;0001-01-01
Джинсы JUST DENIM Прямые;2633242555;джинсы/1851/темно-синий/33;https://www.ozon.ru/product/2633242555;JUST DENIM;Одежда;Джинсы;Нет;486 488 ₽;+76%;160;2 334 ₽;3 041 ₽;0 ₽;4 из 28;16 766 ₽;6;FBO;28 ч;4,2;48,0%;54,0%;25 432;5 794;0,07%;7,54%;2,8%;39,3%;2025-08-07
Пуховик Lina Rey зимний;1707494680;М37-4LR_58;https://www.ozon.ru/product/1707494680;Lina Rey;Одежда;Пуховик;Нет;486 473 ₽;-40%;73;5 260 ₽;6 664 ₽;0 ₽;27 из 28;16 222 ₽;2;FBO;56 ч;24,5;42,0%;56,0%;77 790;26 029;0,00%;1,86%;1,1%;38,3%;2024-09-27
Пальто TheCaSH Российское производство;1769253939;245259109_52;https://www.ozon.ru/product/1769253939;TheCaSH;Одежда;Пальто;Нет;486 454 ₽;+28%;43;10 412 ₽;11 313 ₽;0 ₽;9 из 28;16 449 ₽;1;FBO;32 ч;17,3;39,0%;52,0%;39 167;9 182;0,02%;1,66%;2,9%;44,1%;2024-11-27
Лонгслив CHELEBI TEXTILE Базовый гардероб;1762503880;2304//Горький шоколад///46-48;https://www.ozon.ru/product/1762503880;CHELEBI TEXTILE;Одежда;Лонгслив;Нет;486 451 ₽;+39%;782;1 ₽;622 ₽;0 ₽;21 из 28;17 011 ₽;27;FBO;36 ч;2,5;56,0%;71,0%;84 439;23 768;0,13%;10,20%;0,0%;69,2%;2024-11-20
Футболка ФУФАЙКА НА ГОЛОЕ ТЕЛО Базовая коллекция;1628759956;compl-fut-black-grey-plum-50-3;https://www.ozon.ru/product/1628759956;ФУФАЙКА НА ГОЛОЕ ТЕЛО;Одежда;Футболка;Нет;486 384 ₽;+272%;452;92 ₽;1 076 ₽;0 ₽;4 из 28;17 022 ₽;16;FBO;29 ч;3,9;48,0%;55,0%;565 067;29 763;0,02%;4,93%;24,3%;82,5%;2024-07-15
Костюм спортивный Pinky STAR СССР;2196175633;М308-1-56;https://www.ozon.ru/product/2196175633;Pinky STAR;Одежда;Костюм спортивный;Нет;486 353 ₽;+214%;124;2 714 ₽;3 922 ₽;0 ₽;17 из 28;17 058 ₽;4;FBO;43 ч;5,9;47,0%;53,0%;21 306;8 856;0,07%;8,57%;0,2%;51,6%;2025-05-27
Куртка U.S. POLO ASSN.;3289984975;G082SZ0KS0ART_POLINA_VR046_36;https://www.ozon.ru/product/3289984975;U.S. POLO ASSN.;Одежда;Куртка;Нет;486 260 ₽;+178%;36;11 433 ₽;13 507 ₽;507 857 ₽;27 из 28;37 390 ₽;3;FBO,FBS;60 ч;39,4;42,0%;55,0%;5 509;1 896;0,14%;6,01%;0,0%;47,2%;2025-12-26
Джинсы SAJ Бананы;1687802661;warmmen/бананы/черный*33;https://www.ozon.ru/product/1687802661;SAJ;Одежда;Джинсы;Нет;486 193 ₽;-49%;136;3 002 ₽;3 575 ₽;0 ₽;9 из 28;17 089 ₽;5;FBO;32 ч;4,8;47,0%;54,0%;721;3 839;1,10%;9,71%;0,0%;40,4%;2024-09-09
Куртка ТВОЕ;2809131028;B5494_черный_XL_01BK;https://www.ozon.ru/product/2809131028;ТВОЕ;Одежда;Куртка;Нет;486 118 ₽;-15%;208;1 944 ₽;2 337 ₽;134 196 ₽;26 из 28;22 366 ₽;10;FBO;72 ч;23,9;54,0%;75,0%;37 760;7 207;0,08%;11,83%;0,0%;36,5%;2025-09-05
Шуба искусственная Ultimate shop;3076390488;А04-BK0-0-White-2400-M;https://www.ozon.ru/product/3076390488;Ultimate shop;Одежда;Шуба искусственная;Нет;486 094 ₽;+155%;48;7 984 ₽;10 127 ₽;309 497 ₽;25 из 28;28 136 ₽;3;FBO,FBS;45 ч;32,0;42,0%;57,0%;26 446;5 963;0,04%;3,48%;0,0%;29,1%;2025-11-07
Комбинезон Bona Fide женский спортивный облегающий с длинным рукавом для фитнеса;3385567786;BFK-401-330-010-RussianIdol_S;https://www.ozon.ru/product/3385567786;Bona Fide;Одежда;Комбинезон;Да;486 091 ₽;0%;97;4 359 ₽;5 011 ₽;0 ₽;28 из 28;60 104 ₽;12;FBO;0 ч;1,5;45,0%;51,0%;7 547;1 769;0,11%;14,07%;0,2%;73,1%;2026-01-14
Халат халат;2450434812;05_темно-синий_58;https://www.ozon.ru/product/2450434812;без бренда;Одежда;Халат;Нет;485 933 ₽;0%;265;1 ₽;1 834 ₽;15 682 ₽;24 из 28;15 743 ₽;9;FBO;66 ч;30,0;65,0%;82,0%;40 818;15 933;0,10%;6,56%;0,3%;78,4%;2025-07-11
Костюм спортивный HULK&LEO;1573251478;ss40411_XL;https://www.ozon.ru/product/1573251478;HULK&LEO;Одежда;Костюм спортивный;Нет;485 713 ₽;+139%;157;1 ₽;3 094 ₽;73 238 ₽;24 из 28;18 423 ₽;6;FBO;74 ч;11,1;51,0%;59,0%;40 024;7 334;0,03%;6,85%;1,3%;56,6%;2024-05-13
Пуховик Columbia;1657777135;9505Z95548;https://www.ozon.ru/product/1657777135;Columbia;Одежда;Пуховик;Нет;485 680 ₽;+10%;44;10 552 ₽;11 038 ₽;17 511 ₽;21 из 28;17 511 ₽;2;FBO;76 ч;16,7;40,0%;52,0%;149 153;11 159;0,01%;2,36%;0,8%;43,1%;2024-08-14
Бомбер Alpha Industries;1360200198;MJC22000C1_002 XL;https://www.ozon.ru/product/1360200198;Alpha Industries;Одежда;Бомбер;Нет;485 622 ₽;+79%;23;14 070 ₽;21 114 ₽;0 ₽;26 из 28;15 884 ₽;1;FBO,FBS;0 ч;8,0;38,0%;49,0%;8 783;5 139;0,27%;2,49%;0,0%;47,8%;2023-12-26
Кофейный напиток Carte Noire Cappuccino, 20 шт;225734038;8052695;https://www.ozon.ru/product/225734038;Carte Noire;Продукты питания;Кофе растворимый;Нет;485 561 ₽;-38%;840;1 ₽;578 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,7;45,0%;61,0%;47 162;21 606;0,77%;6,44%;5,2%;0,0%;0001-01-01
